timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-02-10T00:00:00.000Z";"2025-02-10T23:59:59.999Z";"2025-02-10T13:59:00.000Z";"2025-02-10T02:37:00.000Z";"2781";2.4821229044;2.6496079466;2.437566068;2.5560788607;40022945.44;747415216.2;"2025-02-10T23:59:59.999Z"
"2025-02-09T00:00:00.000Z";"2025-02-09T23:59:59.999Z";"2025-02-09T03:52:00.000Z";"2025-02-09T22:08:00.000Z";"2781";2.5329724457;2.6131359919;2.3721896522;2.4821229044;38032876.58;724867078.12;"2025-02-09T23:59:59.999Z"
"2025-02-08T00:00:00.000Z";"2025-02-08T23:59:59.999Z";"2025-02-08T23:43:00.000Z";"2025-02-08T05:22:00.000Z";"2781";2.4722732585;2.5488261673;2.4300511421;2.5329724457;34345713.33;738775118.02;"2025-02-08T23:59:59.999Z"
"2025-02-07T00:00:00.000Z";"2025-02-07T23:59:59.999Z";"2025-02-07T14:33:00.000Z";"2025-02-07T22:35:00.000Z";"2781";2.4969623954;2.6714756032;2.4153834615;2.4722732585;54735092.17;720152151.77;"2025-02-07T23:59:59.999Z"
"2025-02-06T00:00:00.000Z";"2025-02-06T23:59:59.999Z";"2025-02-06T05:01:00.000Z";"2025-02-06T16:22:00.000Z";"2781";2.6142925832;2.9420642465;2.4563537113;2.4969623954;115043130.6;726415466.85;"2025-02-06T23:59:59.999Z"
"2025-02-05T00:00:00.000Z";"2025-02-05T23:59:59.999Z";"2025-02-05T00:00:00.000Z";"2025-02-05T17:44:00.000Z";"2781";2.9461218211;2.9461218211;2.5807631425;2.6147746319;71605764.5;759577079.66;"2025-02-05T23:59:59.999Z"
"2025-02-04T00:00:00.000Z";"2025-02-04T23:59:59.999Z";"2025-02-04T19:28:00.000Z";"2025-02-04T05:37:00.000Z";"2781";3.1111493087;3.2957353586;2.8550755515;2.9461218211;118604901.64;854893923.06;"2025-02-04T23:59:59.999Z"
"2025-02-03T00:00:00.000Z";"2025-02-03T23:59:59.999Z";"2025-02-03T22:46:00.000Z";"2025-02-03T02:11:00.000Z";"2781";2.8632003934;3.1446354715;2.3765692456;3.1111493087;139202572.41;901624156.41;"2025-02-03T23:59:59.999Z"
"2025-02-02T00:00:00.000Z";"2025-02-02T23:59:59.999Z";"2025-02-02T01:35:00.000Z";"2025-02-02T22:43:00.000Z";"2781";3.0088216873;3.1275113025;2.7456983506;2.8632003934;78180586.3;828702922.61;"2025-02-02T23:59:59.999Z"
"2025-02-01T00:00:00.000Z";"2025-02-01T23:59:59.999Z";"2025-02-01T01:38:00.000Z";"2025-02-01T23:29:00.000Z";"2781";3.3896847756;3.4152868541;2.9967492185;3.0088216873;50880909.41;869731701.42;"2025-02-01T23:59:59.999Z"
"2025-01-31T00:00:00.000Z";"2025-01-31T23:59:59.999Z";"2025-01-31T16:59:00.000Z";"2025-01-31T00:18:00.000Z";"2781";3.3676696844;3.5425800775;3.319975022;3.3897346826;74805934.16;978578256.51;"2025-01-31T23:59:59.999Z"
"2025-01-30T00:00:00.000Z";"2025-01-30T23:59:59.999Z";"2025-01-30T20:38:00.000Z";"2025-01-30T00:16:00.000Z";"2781";3.2310852412;3.4022831005;3.1993372147;3.3676696844;61163617.6;971192384.45;"2025-01-30T23:59:59.999Z"
"2025-01-29T00:00:00.000Z";"2025-01-29T23:59:59.999Z";"2025-01-29T21:42:00.000Z";"2025-01-29T00:01:00.000Z";"2781";2.8325892928;3.3747102355;2.8315289495;3.2309672819;96624699.69;930317800.37;"2025-01-29T23:59:59.999Z"
"2025-01-28T00:00:00.000Z";"2025-01-28T23:59:59.999Z";"2025-01-28T05:37:00.000Z";"2025-01-28T23:38:00.000Z";"2781";2.9178824978;3.0696620139;2.7963714087;2.8325892928;67300061.56;814556481.92;"2025-01-28T23:59:59.999Z"
"2025-01-27T00:00:00.000Z";"2025-01-27T23:59:59.999Z";"2025-01-27T23:37:00.000Z";"2025-01-27T10:55:00.000Z";"2781";2.9103427409;2.9410206177;2.5937319399;2.9178824978;65291113.82;837998978.39;"2025-01-27T23:59:59.999Z"
